Time,NetEnergy,DiffEnergy
0.119268,93.9894,0.0662636
0.119268,93.9894,8.63e-07
0.119321,94.1882,0.198795
0.119321,94.1882,8.63e-07
0.119375,94.387,0.198795
0.119375,94.387,8.63e-07
0.119411,94.5195,0.132527
0.119411,94.5195,8.63e-07
0.119446,94.652,0.132527
0.119482,94.6674,0.015411
0.1195,94.6798,0.012401
0.1195,94.6798,1.2945e-06
0.119518,94.7461,0.0662636
0.119518,94.7461,8.63e-07
0.119571,94.9449,0.198795
0.119571,94.9449,8.63e-07
0.119625,95.1437,0.198795
0.119732,95.1899,0.0462322
0.11975,95.2023,0.012401
0.11975,95.2023,1.2945e-06
0.119768,95.2686,0.0662636
0.119768,95.2686,8.63e-07
0.119821,95.4674,0.198795
0.119821,95.4674,8.63e-07
0.119875,95.6662,0.198795
0.119875,95.6662,8.63e-07
0.119911,95.7987,0.132527
0.119911,95.7987,8.63e-07
0.119946,95.9312,0.132527
0.119982,95.9466,0.015411
0.12,95.959,0.012401
0.12,95.959,1.2945e-06
0.120018,96.0253,0.0662636
0.120018,96.0253,8.63e-07
0.120071,96.2241,0.198795
0.120071,96.2241,8.63e-07
0.120125,96.4229,0.198795
0.120232,96.4691,0.0462322
0.12025,96.4815,0.012401
0.12025,96.4815,1.2945e-06
0.120268,96.5478,0.0662636
0.120268,96.5478,8.63e-07
0.120321,96.7466,0.198795
0.120321,96.7466,8.63e-07
0.120375,96.9454,0.198795
0.120375,96.9454,8.63e-07
0.120411,97.0779,0.132527
0.120411,97.0779,8.63e-07
0.120446,97.2104,0.132527
0.120482,97.2259,0.015411
0.1205,97.2383,0.012401
0.1205,97.2383,1.2945e-06
0.120518,97.3045,0.0662636
0.120518,97.3045,8.63e-07
0.120571,97.5033,0.198795
0.120571,97.5033,8.63e-07
0.120625,97.7021,0.198795
0.120732,97.7483,0.0462322
0.12075,97.7607,0.012401
0.12075,97.7607,1.2945e-06
0.120768,97.827,0.0662636
0.120768,97.827,8.63e-07
0.120839,98.0921,0.265062
0.120839,98.0921,8.63e-07
0.120893,98.2909,0.198795
0.120893,98.2909,8.63e-07
0.120929,98.4234,0.132527
0.120929,98.4234,8.63e-07
0.120964,98.5559,0.132527
0.120982,98.5636,0.00770573
0.121,98.576,0.012401
